pe506	Lasso, Orlando di
pe1904	Palestrina, Giovanni Pierluigi da
pe2530	Bach, Johann Christian
pe11035	Beethoven, Ludwig van
pe11648	Bellini, Vincenzo
pe14522	Dittersdorf, Carl Ditters von
pe20503	Pitoni, Giuseppe Ottavio
pe23607	Boieldieu, Adrien
pe24761	Pleyel, Ignace
pe37240	Häser, August Ferdinand
pe41444	Galuppi, Baldassare
pe43516	Caldara, Antonio
pe51928	Hasse, Johann Adolf
pe55803	Haydn, Joseph
pe58663	Kücken, Friedrich Wilhelm
pe59061	Ett, Caspar
pe60618	Kuhlau, Friedrich
pe63766	Rossini, Gioachino
pe71536	Cramer, Johann Baptist
pe78470	Czerny, Carl
pe90050	Himmel, Friedrich Heinrich
pe90691	Naumann, Johann Gottlieb
pe94981	Hoffmeister, Franz Anton
pe101056	Méhul, Etienne-Nicolas
pe106324	Bühler, Franz
pe106604	Noskowski, Zygmunt
pe107007	Hummel, Johann Nepomuk
pe114557	Vanhal, Johann Baptist
pe117485	Weber, Carl Maria von
pe117979	Otto, Julius
pe123639	Schiedermayr, Johann Baptist
pe137276	Wieniawski, Józef
pe140138	Szymanowska, Maria
pe141907	Winter, Peter von
pe142499	Witt, Franz Xaver
pe142692	Triebensee, Josef
pe175316	Nowakowski, Józef
pe327026	Mel, Rinaldo del
pe327522	Wiltberger, August
pe333493	Righini, Vincenzo
pe353782	Gruberski, Eugenjusz
pe356579	Binder, Christlieb Siegmund
pe367346	Königsperger, Marianus
pe387526	Goudimel, Claude
pe477064	Chwatal, Franz Xaver
pe20000387	Asola, Giovanni Matteo
pe20000415	Bassani, Giovanni Battista
pe20000434	Costanzi, Giovanni Battista
pe20000528	Guami, Gioseffo
pe30000042	Agrell, Johan Joachim
pe30000104	Anerio, Giovanni Francesco
pe30000157	Astorga, Emanuele d'
pe30000244	Bauer, Joseph Anton
pe30000281	Bellinzani, Paolo Benedetto
pe30000404	Bolehovský, Josef
pe30000441	Bortnjanskij, Dmitrij Stepanovič
pe30000477	Brentner, Johann Joseph Ignaz
pe30000488	Brioschi, Antonio
pe30000491	Brixi, František Xaver
pe30000493	Brixi, Viktorín
pe30000524	Budinský, František Xaver
pe30000607	Casali, Giovanni Battista
pe30000719	Conti
pe30000764	Croce, Giovanni
pe30000792	Danik, Ján Ignác
pe30000793	Dankowski, Adalbert
pe30000957	Elsner, Józef
pe30001067	Fils, Anton
pe30001080	Zientarski, Romuald Teodor
pe30001170	Führer, Robert
pe30001185	Gabrieli, Andrea
pe30001209	Gallus, Iacobus
pe30001351	Graun, Carl Heinrich
pe30001398	Guglielmi, Pietro Alessandro
pe30001538	Hofmann, Leopold
pe30001549	Holzbauer, Ignaz
pe30001597	Isouard, Nicolas
pe30001600	Ivanschiz, Amandus
pe30001658	Kalous, Vaclav
pe30001684	Kellerer, Christophorus
pe30001779	Kraus, Lambert
pe30001797	Krogulski, Józef Władysław
pe30001863	Lampugnani, Giovanni Battista
pe30001878	Laube, Antonín
pe30001903	Lechleitner, Ferdinand Simon
pe30002000	Loos, Karel
pe30002047	De Majo, Gian Francesco
pe30002048	Maldere, Pierre van
pe30002061	Manna, Gennaro
pe30002079	Marescalchi, Luigi
pe30002301	Mysliveček, Josef
pe30002337	Neumann
pe30002453	Pausch, Eugen
